Destination,District,Season,Type,Budget,Stay_Type,Stay_Place,Cost_per_Day,Rating,Booking_Link,Location,image_url
Silver Beach,Salem,All Season,Beach,Medium,Hotel,Silver Beach Resort,1432,4.8,https://www.google.com/search?q=Silver+Beach+hotel+booking,"https://www.google.com/maps/search/Silver+Beach,Salem",https://source.unsplash.com/600x400/?Silver%20Beach
Dhanushkodi Beach,Tiruvannamalai,Winter,Beach,High,Resort,Dhanushkodi Beach Hotel,973,4,https://www.google.com/search?q=Dhanushkodi+Beach+hotel+booking,"https://www.google.com/maps/search/Dhanushkodi+Beach,Tiruvannamalai",https://source.unsplash.com/600x400/?Dhanushkodi%20Beach
Kiliyur Falls,Tiruvannamalai,Winter,Waterfall,High,Lodge,Kiliyur Falls Resort,4990,3.6,https://www.google.com/search?q=Kiliyur+Falls+hotel+booking,"https://www.google.com/maps/search/Kiliyur+Falls,Tiruvannamalai",https://source.unsplash.com/600x400/?Kiliyur%20Falls
Chidambaram Nataraja Temple,Karur,All Season,Temple,Low,Lodge,Chidambaram Nataraja Temple Inn,4234,4.2,https://www.google.com/search?q=Chidambaram+Nataraja+Temple+hotel+booking,"https://www.google.com/maps/search/Chidambaram+Nataraja+Temple,Karur",https://source.unsplash.com/600x400/?Chidambaram%20Nataraja%20Temple
Brihadeeswarar Temple,Villupuram,Summer,Temple,Medium,Hotel,Brihadeeswarar Temple Inn,2615,3.6,https://www.google.com/search?q=Brihadeeswarar+Temple+hotel+booking,"https://www.google.com/maps/search/Brihadeeswarar+Temple,Villupuram",https://source.unsplash.com/600x400/?Brihadeeswarar%20Temple
Courtallam Falls,Erode,Summer,Waterfall,Medium,Lodge,Courtallam Falls Stay,1477,4.1,https://www.google.com/search?q=Courtallam+Falls+hotel+booking,"https://www.google.com/maps/search/Courtallam+Falls,Erode",https://source.unsplash.com/600x400/?Courtallam%20Falls
Meenakshi Amman Temple,Chennai,Winter,Temple,High,Resort,Meenakshi Amman Temple Inn,1457,4.6,https://www.google.com/search?q=Meenakshi+Amman+Temple+hotel+booking,"https://www.google.com/maps/search/Meenakshi+Amman+Temple,Chennai",https://source.unsplash.com/600x400/?Meenakshi%20Amman%20Temple
Kanyakumari Beach,Tenkasi,All Season,Beach,High,Homestay,Kanyakumari Beach Inn,2604,4.6,https://www.google.com/search?q=Kanyakumari+Beach+hotel+booking,"https://www.google.com/maps/search/Kanyakumari+Beach,Tenkasi",https://source.unsplash.com/600x400/?Kanyakumari%20Beach
Yercaud Hills,Kanyakumari,Summer,Hill Station,High,Lodge,Yercaud Hills Inn,2665,4.4,https://www.google.com/search?q=Yercaud+Hills+hotel+booking,"https://www.google.com/maps/search/Yercaud+Hills,Kanyakumari",https://source.unsplash.com/600x400/?Yercaud%20Hills
Chidambaram Nataraja Temple,Ariyalur,Monsoon,Temple,Low,Hotel,Chidambaram Nataraja Temple Resort,1164,4,https://www.google.com/search?q=Chidambaram+Nataraja+Temple+hotel+booking,"https://www.google.com/maps/search/Chidambaram+Nataraja+Temple,Ariyalur",https://source.unsplash.com/600x400/?Chidambaram%20Nataraja%20Temple
Elliot Beach,Virudhunagar,All Season,Beach,High,Resort,Elliot Beach Inn,4573,3.9,https://www.google.com/search?q=Elliot+Beach+hotel+booking,"https://www.google.com/maps/search/Elliot+Beach,Virudhunagar",https://source.unsplash.com/600x400/?Elliot%20Beach
Kolli Hills,Ariyalur,Summer,Hill Station,Low,Hotel,Kolli Hills Stay,4866,3.5,https://www.google.com/search?q=Kolli+Hills+hotel+booking,"https://www.google.com/maps/search/Kolli+Hills,Ariyalur",https://source.unsplash.com/600x400/?Kolli%20Hills
Yercaud Hills,Salem,All Season,Hill Station,Low,Hotel,Yercaud Hills Inn,1591,3.5,https://www.google.com/search?q=Yercaud+Hills+hotel+booking,"https://www.google.com/maps/search/Yercaud+Hills,Salem",https://source.unsplash.com/600x400/?Yercaud%20Hills
Kodaikanal Hills,Madurai,All Season,Hill Station,Medium,Lodge,Kodaikanal Hills Resort,4745,3.9,https://www.google.com/search?q=Kodaikanal+Hills+hotel+booking,"https://www.google.com/maps/search/Kodaikanal+Hills,Madurai",https://source.unsplash.com/600x400/?Kodaikanal%20Hills
Agaya Gangai Falls,Villupuram,Summer,Waterfall,High,Homestay,Agaya Gangai Falls Resort,4694,4.1,https://www.google.com/search?q=Agaya+Gangai+Falls+hotel+booking,"https://www.google.com/maps/search/Agaya+Gangai+Falls,Villupuram",https://source.unsplash.com/600x400/?Agaya%20Gangai%20Falls
Dhanushkodi Beach,Tiruvallur,All Season,Beach,Low,Lodge,Dhanushkodi Beach Inn,1812,4.2,https://www.google.com/search?q=Dhanushkodi+Beach+hotel+booking,"https://www.google.com/maps/search/Dhanushkodi+Beach,Tiruvallur",https://source.unsplash.com/600x400/?Dhanushkodi%20Beach
Kolli Hills,Madurai,Monsoon,Hill Station,Medium,Lodge,Kolli Hills Inn,3552,4.4,https://www.google.com/search?q=Kolli+Hills+hotel+booking,"https://www.google.com/maps/search/Kolli+Hills,Madurai",https://source.unsplash.com/600x400/?Kolli%20Hills
Courtallam Falls,Vellore,All Season,Waterfall,Low,Homestay,Courtallam Falls Stay,1534,4.2,https://www.google.com/search?q=Courtallam+Falls+hotel+booking,"https://www.google.com/maps/search/Courtallam+Falls,Vellore",https://source.unsplash.com/600x400/?Courtallam%20Falls
Suruli Falls,Trichy,Winter,Waterfall,High,Resort,Suruli Falls Stay,3915,3.8,https://www.google.com/search?q=Suruli+Falls+hotel+booking,"https://www.google.com/maps/search/Suruli+Falls,Trichy",https://source.unsplash.com/600x400/?Suruli%20Falls
Valparai Hills,Karur,All Season,Hill Station,High,Homestay,Valparai Hills Stay,4635,4.6,https://www.google.com/search?q=Valparai+Hills+hotel+booking,"https://www.google.com/maps/search/Valparai+Hills,Karur",https://source.unsplash.com/600x400/?Valparai%20Hills
Ooty Hills,Mayiladuthurai,Winter,Hill Station,Low,Lodge,Ooty Hills Hotel,3794,4.2,https://www.google.com/search?q=Ooty+Hills+hotel+booking,"https://www.google.com/maps/search/Ooty+Hills,Mayiladuthurai",https://source.unsplash.com/600x400/?Ooty%20Hills
Hogenakkal Falls,Trichy,Monsoon,Waterfall,Low,Resort,Hogenakkal Falls Hotel,1428,3.8,https://www.google.com/search?q=Hogenakkal+Falls+hotel+booking,"https://www.google.com/maps/search/Hogenakkal+Falls,Trichy",https://source.unsplash.com/600x400/?Hogenakkal%20Falls
Kanyakumari Beach,Mayiladuthurai,Monsoon,Beach,Low,Lodge,Kanyakumari Beach Stay,4681,3.8,https://www.google.com/search?q=Kanyakumari+Beach+hotel+booking,"https://www.google.com/maps/search/Kanyakumari+Beach,Mayiladuthurai",https://source.unsplash.com/600x400/?Kanyakumari%20Beach
Kolli Hills,Vellore,All Season,Hill Station,Medium,Lodge,Kolli Hills Resort,1614,4.4,https://www.google.com/search?q=Kolli+Hills+hotel+booking,"https://www.google.com/maps/search/Kolli+Hills,Vellore",https://source.unsplash.com/600x400/?Kolli%20Hills
Arunachaleswarar Temple,Trichy,Summer,Temple,Medium,Lodge,Arunachaleswarar Temple Hotel,2518,4.2,https://www.google.com/search?q=Arunachaleswarar+Temple+hotel+booking,"https://www.google.com/maps/search/Arunachaleswarar+Temple,Trichy",https://source.unsplash.com/600x400/?Arunachaleswarar%20Temple
Elliot Beach,Thanjavur,All Season,Beach,Low,Lodge,Elliot Beach Hotel,3708,4.5,https://www.google.com/search?q=Elliot+Beach+hotel+booking,"https://www.google.com/maps/search/Elliot+Beach,Thanjavur",https://source.unsplash.com/600x400/?Elliot%20Beach
Agaya Gangai Falls,Kanchipuram,Monsoon,Waterfall,High,Homestay,Agaya Gangai Falls Resort,2578,4.3,https://www.google.com/search?q=Agaya+Gangai+Falls+hotel+booking,"https://www.google.com/maps/search/Agaya+Gangai+Falls,Kanchipuram",https://source.unsplash.com/600x400/?Agaya%20Gangai%20Falls
Marina Beach,Erode,Summer,Beach,Low,Hotel,Marina Beach Resort,2004,4.5,https://www.google.com/search?q=Marina+Beach+hotel+booking,"https://www.google.com/maps/search/Marina+Beach,Erode",https://source.unsplash.com/600x400/?Marina%20Beach
Kiliyur Falls,Namakkal,Monsoon,Waterfall,High,Lodge,Kiliyur Falls Inn,2046,3.9,https://www.google.com/search?q=Kiliyur+Falls+hotel+booking,"https://www.google.com/maps/search/Kiliyur+Falls,Namakkal",https://source.unsplash.com/600x400/?Kiliyur%20Falls
Hogenakkal Falls,Thanjavur,Winter,Waterfall,High,Hotel,Hogenakkal Falls Resort,1569,4.6,https://www.google.com/search?q=Hogenakkal+Falls+hotel+booking,"https://www.google.com/maps/search/Hogenakkal+Falls,Thanjavur",https://source.unsplash.com/600x400/?Hogenakkal%20Falls
Kodaikanal Hills,Ramanathapuram,All Season,Hill Station,Medium,Resort,Kodaikanal Hills Inn,1797,4.1,https://www.google.com/search?q=Kodaikanal+Hills+hotel+booking,"https://www.google.com/maps/search/Kodaikanal+Hills,Ramanathapuram",https://source.unsplash.com/600x400/?Kodaikanal%20Hills
Marina Beach,Chennai,Monsoon,Beach,High,Resort,Marina Beach Hotel,3950,4.8,https://www.google.com/search?q=Marina+Beach+hotel+booking,"https://www.google.com/maps/search/Marina+Beach,Chennai",https://source.unsplash.com/600x400/?Marina%20Beach
Elliot Beach,Trichy,Monsoon,Beach,High,Homestay,Elliot Beach Stay,4477,3.9,https://www.google.com/search?q=Elliot+Beach+hotel+booking,"https://www.google.com/maps/search/Elliot+Beach,Trichy",https://source.unsplash.com/600x400/?Elliot%20Beach
Arunachaleswarar Temple,Coimbatore,Winter,Temple,Medium,Homestay,Arunachaleswarar Temple Stay,4249,4.8,https://www.google.com/search?q=Arunachaleswarar+Temple+hotel+booking,"https://www.google.com/maps/search/Arunachaleswarar+Temple,Coimbatore",https://source.unsplash.com/600x400/?Arunachaleswarar%20Temple
Agaya Gangai Falls,Vellore,All Season,Waterfall,Medium,Hotel,Agaya Gangai Falls Inn,1696,3.7,https://www.google.com/search?q=Agaya+Gangai+Falls+hotel+booking,"https://www.google.com/maps/search/Agaya+Gangai+Falls,Vellore",https://source.unsplash.com/600x400/?Agaya%20Gangai%20Falls
Dhanushkodi Beach,Cuddalore,All Season,Beach,High,Hotel,Dhanushkodi Beach Resort,2972,4.5,https://www.google.com/search?q=Dhanushkodi+Beach+hotel+booking,"https://www.google.com/maps/search/Dhanushkodi+Beach,Cuddalore",https://source.unsplash.com/600x400/?Dhanushkodi%20Beach
Courtallam Falls,Nagapattinam,Winter,Waterfall,High,Resort,Courtallam Falls Hotel,3060,4.7,https://www.google.com/search?q=Courtallam+Falls+hotel+booking,"https://www.google.com/maps/search/Courtallam+Falls,Nagapattinam",https://source.unsplash.com/600x400/?Courtallam%20Falls
Kolli Hills,Tirunelveli,All Season,Hill Station,Medium,Hotel,Kolli Hills Hotel,3509,4.7,https://www.google.com/search?q=Kolli+Hills+hotel+booking,"https://www.google.com/maps/search/Kolli+Hills,Tirunelveli",https://source.unsplash.com/600x400/?Kolli%20Hills
Suruli Falls,Sivagangai,Summer,Waterfall,Medium,Homestay,Suruli Falls Hotel,4769,3.9,https://www.google.com/search?q=Suruli+Falls+hotel+booking,"https://www.google.com/maps/search/Suruli+Falls,Sivagangai",https://source.unsplash.com/600x400/?Suruli%20Falls
Silver Beach,Sivagangai,Monsoon,Beach,Medium,Resort,Silver Beach Hotel,4813,4.2,https://www.google.com/search?q=Silver+Beach+hotel+booking,"https://www.google.com/maps/search/Silver+Beach,Sivagangai",https://source.unsplash.com/600x400/?Silver%20Beach
Chidambaram Nataraja Temple,Villupuram,Summer,Temple,Medium,Resort,Chidambaram Nataraja Temple Inn,3067,4.3,https://www.google.com/search?q=Chidambaram+Nataraja+Temple+hotel+booking,"https://www.google.com/maps/search/Chidambaram+Nataraja+Temple,Villupuram",https://source.unsplash.com/600x400/?Chidambaram%20Nataraja%20Temple
Brihadeeswarar Temple,Perambalur,All Season,Temple,Medium,Resort,Brihadeeswarar Temple Resort,1789,4.1,https://www.google.com/search?q=Brihadeeswarar+Temple+hotel+booking,"https://www.google.com/maps/search/Brihadeeswarar+Temple,Perambalur",https://source.unsplash.com/600x400/?Brihadeeswarar%20Temple
Brihadeeswarar Temple,Kanyakumari,All Season,Temple,Medium,Homestay,Brihadeeswarar Temple Inn,2786,3.9,https://www.google.com/search?q=Brihadeeswarar+Temple+hotel+booking,"https://www.google.com/maps/search/Brihadeeswarar+Temple,Kanyakumari",https://source.unsplash.com/600x400/?Brihadeeswarar%20Temple
Dhanushkodi Beach,Rameswaram,Winter,Beach,High,Resort,Dhanushkodi Beach Hotel,3963,4.8,https://www.google.com/search?q=Dhanushkodi+Beach+hotel+booking,"https://www.google.com/maps/search/Dhanushkodi+Beach,Rameswaram",https://source.unsplash.com/600x400/?Dhanushkodi%20Beach
Agaya Gangai Falls,Kanchipuram,Summer,Waterfall,Low,Lodge,Agaya Gangai Falls Hotel,2712,4.3,https://www.google.com/search?q=Agaya+Gangai+Falls+hotel+booking,"https://www.google.com/maps/search/Agaya+Gangai+Falls,Kanchipuram",https://source.unsplash.com/600x400/?Agaya%20Gangai%20Falls
Suruli Falls,Virudhunagar,Summer,Waterfall,Low,Homestay,Suruli Falls Stay,2707,4.4,https://www.google.com/search?q=Suruli+Falls+hotel+booking,"https://www.google.com/maps/search/Suruli+Falls,Virudhunagar",https://source.unsplash.com/600x400/?Suruli%20Falls
Silver Beach,Tiruvallur,All Season,Beach,Low,Lodge,Silver Beach Stay,1129,4,https://www.google.com/search?q=Silver+Beach+hotel+booking,"https://www.google.com/maps/search/Silver+Beach,Tiruvallur",https://source.unsplash.com/600x400/?Silver%20Beach
Kodaikanal Hills,Coimbatore,All Season,Hill Station,Medium,Homestay,Kodaikanal Hills Hotel,1215,4.7,https://www.google.com/search?q=Kodaikanal+Hills+hotel+booking,"https://www.google.com/maps/search/Kodaikanal+Hills,Coimbatore",https://source.unsplash.com/600x400/?Kodaikanal%20Hills
Silver Beach,Namakkal,Monsoon,Beach,High,Resort,Silver Beach Stay,4895,3.7,https://www.google.com/search?q=Silver+Beach+hotel+booking,"https://www.google.com/maps/search/Silver+Beach,Namakkal",https://source.unsplash.com/600x400/?Silver%20Beach
Hogenakkal Falls,Trichy,All Season,Waterfall,Medium,Lodge,Hogenakkal Falls Hotel,2241,4.8,https://www.google.com/search?q=Hogenakkal+Falls+hotel+booking,"https://www.google.com/maps/search/Hogenakkal+Falls,Trichy",https://source.unsplash.com/600x400/?Hogenakkal%20Falls
Kanyakumari Beach,Chennai,All Season,Beach,High,Lodge,Kanyakumari Beach Stay,4888,4.7,https://www.google.com/search?q=Kanyakumari+Beach+hotel+booking,"https://www.google.com/maps/search/Kanyakumari+Beach,Chennai",https://source.unsplash.com/600x400/?Kanyakumari%20Beach
Ooty Hills,Madurai,Winter,Hill Station,High,Resort,Ooty Hills Stay,1430,3.8,https://www.google.com/search?q=Ooty+Hills+hotel+booking,"https://www.google.com/maps/search/Ooty+Hills,Madurai",https://source.unsplash.com/600x400/?Ooty%20Hills
Kiliyur Falls,Tirunelveli,All Season,Waterfall,Low,Homestay,Kiliyur Falls Resort,3772,4.4,https://www.google.com/search?q=Kiliyur+Falls+hotel+booking,"https://www.google.com/maps/search/Kiliyur+Falls,Tirunelveli",https://source.unsplash.com/600x400/?Kiliyur%20Falls
Kolli Hills,Karur,Monsoon,Hill Station,Medium,Hotel,Kolli Hills Hotel,919,4.3,https://www.google.com/search?q=Kolli+Hills+hotel+booking,"https://www.google.com/maps/search/Kolli+Hills,Karur",https://source.unsplash.com/600x400/?Kolli%20Hills
Dhanushkodi Beach,Tirunelveli,Summer,Beach,Low,Lodge,Dhanushkodi Beach Hotel,3839,4.7,https://www.google.com/search?q=Dhanushkodi+Beach+hotel+booking,"https://www.google.com/maps/search/Dhanushkodi+Beach,Tirunelveli",https://source.unsplash.com/600x400/?Dhanushkodi%20Beach
Chidambaram Nataraja Temple,Rameswaram,Summer,Temple,Medium,Homestay,Chidambaram Nataraja Temple Stay,1180,4.6,https://www.google.com/search?q=Chidambaram+Nataraja+Temple+hotel+booking,"https://www.google.com/maps/search/Chidambaram+Nataraja+Temple,Rameswaram",https://source.unsplash.com/600x400/?Chidambaram%20Nataraja%20Temple
Agaya Gangai Falls,Villupuram,All Season,Waterfall,High,Lodge,Agaya Gangai Falls Resort,3126,3.9,https://www.google.com/search?q=Agaya+Gangai+Falls+hotel+booking,"https://www.google.com/maps/search/Agaya+Gangai+Falls,Villupuram",https://source.unsplash.com/600x400/?Agaya%20Gangai%20Falls
Suruli Falls,Kanchipuram,Summer,Waterfall,High,Homestay,Suruli Falls Resort,4929,4.4,https://www.google.com/search?q=Suruli+Falls+hotel+booking,"https://www.google.com/maps/search/Suruli+Falls,Kanchipuram",https://source.unsplash.com/600x400/?Suruli%20Falls
Brihadeeswarar Temple,Mayiladuthurai,All Season,Temple,Medium,Lodge,Brihadeeswarar Temple Stay,1642,3.9,https://www.google.com/search?q=Brihadeeswarar+Temple+hotel+booking,"https://www.google.com/maps/search/Brihadeeswarar+Temple,Mayiladuthurai",https://source.unsplash.com/600x400/?Brihadeeswarar%20Temple
Ooty Hills,Tenkasi,All Season,Hill Station,Medium,Resort,Ooty Hills Hotel,3964,3.8,https://www.google.com/search?q=Ooty+Hills+hotel+booking,"https://www.google.com/maps/search/Ooty+Hills,Tenkasi",https://source.unsplash.com/600x400/?Ooty%20Hills
Chidambaram Nataraja Temple,Cuddalore,Monsoon,Temple,Medium,Resort,Chidambaram Nataraja Temple Inn,2157,4.5,https://www.google.com/search?q=Chidambaram+Nataraja+Temple+hotel+booking,"https://www.google.com/maps/search/Chidambaram+Nataraja+Temple,Cuddalore",https://source.unsplash.com/600x400/?Chidambaram%20Nataraja%20Temple
Marina Beach,Perambalur,Summer,Beach,Medium,Resort,Marina Beach Inn,3740,4.1,https://www.google.com/search?q=Marina+Beach+hotel+booking,"https://www.google.com/maps/search/Marina+Beach,Perambalur",https://source.unsplash.com/600x400/?Marina%20Beach
Agaya Gangai Falls,Villupuram,Winter,Waterfall,High,Lodge,Agaya Gangai Falls Hotel,2094,4.4,https://www.google.com/search?q=Agaya+Gangai+Falls+hotel+booking,"https://www.google.com/maps/search/Agaya+Gangai+Falls,Villupuram",https://source.unsplash.com/600x400/?Agaya%20Gangai%20Falls
Ramanathaswamy Temple,Salem,Monsoon,Temple,Low,Homestay,Ramanathaswamy Temple Inn,1625,3.8,https://www.google.com/search?q=Ramanathaswamy+Temple+hotel+booking,"https://www.google.com/maps/search/Ramanathaswamy+Temple,Salem",https://source.unsplash.com/600x400/?Ramanathaswamy%20Temple
Kodaikanal Hills,Cuddalore,Monsoon,Hill Station,Medium,Resort,Kodaikanal Hills Hotel,4752,4.7,https://www.google.com/search?q=Kodaikanal+Hills+hotel+booking,"https://www.google.com/maps/search/Kodaikanal+Hills,Cuddalore",https://source.unsplash.com/600x400/?Kodaikanal%20Hills
Kolli Hills,Rameswaram,All Season,Hill Station,Medium,Lodge,Kolli Hills Resort,3544,4.3,https://www.google.com/search?q=Kolli+Hills+hotel+booking,"https://www.google.com/maps/search/Kolli+Hills,Rameswaram",https://source.unsplash.com/600x400/?Kolli%20Hills
Meenakshi Amman Temple,Trichy,Winter,Temple,Low,Resort,Meenakshi Amman Temple Inn,946,4.6,https://www.google.com/search?q=Meenakshi+Amman+Temple+hotel+booking,"https://www.google.com/maps/search/Meenakshi+Amman+Temple,Trichy",https://source.unsplash.com/600x400/?Meenakshi%20Amman%20Temple
Ooty Hills,Tenkasi,All Season,Hill Station,Low,Lodge,Ooty Hills Hotel,985,4.1,https://www.google.com/search?q=Ooty+Hills+hotel+booking,"https://www.google.com/maps/search/Ooty+Hills,Tenkasi",https://source.unsplash.com/600x400/?Ooty%20Hills
Ooty Hills,Tirunelveli,All Season,Hill Station,Medium,Resort,Ooty Hills Hotel,1761,4.5,https://www.google.com/search?q=Ooty+Hills+hotel+booking,"https://www.google.com/maps/search/Ooty+Hills,Tirunelveli",https://source.unsplash.com/600x400/?Ooty%20Hills
Meenakshi Amman Temple,Ramanathapuram,Monsoon,Temple,High,Lodge,Meenakshi Amman Temple Inn,1441,4,https://www.google.com/search?q=Meenakshi+Amman+Temple+hotel+booking,"https://www.google.com/maps/search/Meenakshi+Amman+Temple,Ramanathapuram",https://source.unsplash.com/600x400/?Meenakshi%20Amman%20Temple
